Dataset,Model,Gamma,"First solution (X,Y,Z)",|X|+|Y|+|Z| (Objective value),Number of found solutions,"Time, s",Solver,HardWare,x,y,z
Mobile operators,M1,0.5,"(3, 113, 13)",128.99999999999997,6,11.433451,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 2.030666666666666 MHz | 62.55 GB,"[('x5', 1.0), ('x7', 0.9999999999999899), ('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y5', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y10', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y21', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y27', 1.0), ('y28', 1.0), ('y29', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y37', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y41', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y46', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y53', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y62', 1.0), ('y63', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y67', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y81', 1.0), ('y82', 1.0), ('y83', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y109', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0), ('y113', 1.0)]","[('z1', 1.0), ('z2', 1.0), ('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z11', 0.9999999999999825), ('z12', 1.0), ('z13', 1.0), ('z14', 1.0), ('z16', 1.0)]"
Mobile operators,M1,0.6,"(5, 113, 7)",125.0,7,17.142611,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.4134166666666665 MHz | 62.55 GB,"[('x3', 1.0), ('x5', 1.0), ('x7', 1.0), ('x8', 1.0), ('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y5', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y10', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y21', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y27', 1.0), ('y28', 1.0), ('y29', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y37', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y41', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y46', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y53', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y62', 1.0), ('y63', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y67', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y81', 1.0), ('y82', 1.0), ('y83', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y109', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0), ('y113', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z16', 0.9999999999999997)]"
Mobile operators,M1,0.7,"(1, 113, 8)",122.0,4,17.964119,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.4114583333333333 MHz | 62.55 GB,"[('x2', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y5', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y10', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y21', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y27', 1.0), ('y28', 1.0), ('y29', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y37', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y41', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y46', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y53', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y62', 1.0), ('y63', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y67', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y81', 1.0), ('y82', 1.0), ('y83', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y109', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0), ('y113', 1.0)]","[('z1', 1.0), ('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M1,0.7999999999999999,"(1, 113, 7)",121.0,7,20.374249,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 2.0304999999999995 MHz | 62.55 GB,"[('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y5', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y10', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y21', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y27', 1.0), ('y28', 1.0), ('y29', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y37', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y41', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y46', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y53', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y62', 1.0), ('y63', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y67', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y81', 1.0), ('y82', 1.0), ('y83', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y109', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0), ('y113', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M1,0.8999999999999999,"(1, 94, 6)",101.0,19,264.442242,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.4133333333333333 MHz | 62.55 GB,"[('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y5', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y28', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y42', 1.0), ('y44', 1.0), ('y45', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y51', 1.0), ('y52', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y62', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0), ('y113', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M1,0.9999999999999999,"(1, 32, 7)",40.0,5,453.595905,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.359791666666667 MHz | 62.55 GB,"[('x16', 1.0)]","[('y3', 1.0), ('y7', 1.0), ('y8', 1.0), ('y25', 1.0), ('y28', 1.0), ('y32', 1.0), ('y33', 1.0), ('y35', 1.0), ('y36', 1.0), ('y40', 1.0), ('y45', 1.0), ('y47', 1.0), ('y51', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y60', 1.0), ('y75', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y85', 1.0), ('y86', 1.0), ('y88', 1.0), ('y90', 1.0), ('y96', 1.0), ('y99', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y111', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M2,0.5,"(9, 104, 7)",6.6813524537465,27,164.545608,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.299666666666667 MHz | 62.55 GB,"[('x3', 1.0), ('x5', 1.0), ('x6', 1.0), ('x7', 1.0), ('x8', 1.0), ('x12', 1.0), ('x14', 1.0), ('x15', 1.0), ('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y5', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y21', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y27', 1.0), ('y28', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y41', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y46', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y63', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y82', 1.0), ('y83', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M2,0.6,"(6, 101, 6)",6.53276175451973,26,191.415836,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 2.1964999999999995 MHz | 62.55 GB,"[('x3', 1.0), ('x6', 1.0), ('x7', 1.0), ('x8', 1.0), ('x12', 1.0), ('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y16', 1.0), ('y17', 1.0), ('y18', 1.0), ('y19', 1.0), ('y20', 1.0), ('y22', 1.0), ('y23', 1.0), ('y24', 1.0), ('y25', 1.0), ('y26', 1.0), ('y27', 1.0), ('y28', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y47', 1.0), ('y48', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y61', 1.0), ('y62', 1.0), ('y64', 1.0), ('y65', 1.0), ('y66', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y72', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y82', 1.0), ('y83', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0), ('y113', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M2,0.7,"(4, 86, 7)",6.30889842884918,58,620.848855,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.648458333333333 MHz | 62.55 GB,"[('x6', 1.0), ('x7', 1.0), ('x8', 1.0), ('x16', 1.0)]","[('y1', 1.0), ('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y6', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y11', 1.0), ('y12', 1.0), ('y13', 1.0), ('y14', 1.0), ('y15', 1.0), ('y17', 1.0), ('y19', 1.0), ('y23', 1.0), ('y25', 1.0), ('y27', 1.0), ('y28', 1.0), ('y30', 1.0), ('y31', 1.0), ('y32', 0.9999999999999999), ('y33', 1.0), ('y34', 1.0), ('y35', 1.0), ('y36', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y42', 1.0), ('y43', 1.0), ('y44', 1.0), ('y45', 1.0), ('y47', 1.0), ('y49', 1.0), ('y50', 1.0), ('y51', 1.0), ('y52', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y58', 1.0), ('y59', 1.0), ('y60', 1.0), ('y64', 1.0), ('y66', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y71', 1.0), ('y73', 1.0), ('y74', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y82', 1.0), ('y83', 1.0), ('y85', 1.0), ('y86', 1.0), ('y87', 1.0), ('y88', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y97', 1.0), ('y98', 1.0), ('y99', 1.0), ('y100', 1.0), ('y101', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y108', 1.0), ('y110', 1.0), ('y111', 1.0), ('y112', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z7', 1.0), ('z10', 1.0), ('z16', 1.0)]"
Mobile operators,M2,0.7999999999999999,"(3, 60, 6)",6.0258659738253195,59,2061.30011,SciOpt,Linux | 24 x 12th Gen Intel(R) Core(TM) i9-12900KS 1.185791666666667 MHz | 62.55 GB,"[('x3', 1.0), ('x7', 1.0), ('x16', 1.0)]","[('y2', 1.0), ('y3', 1.0), ('y4', 1.0), ('y7', 1.0), ('y8', 1.0), ('y9', 1.0), ('y20', 1.0), ('y25', 1.0), ('y28', 1.0), ('y31', 1.0), ('y32', 1.0), ('y33', 1.0), ('y35', 1.0), ('y36', 1.0), ('y38', 1.0), ('y39', 1.0), ('y40', 1.0), ('y45', 1.0), ('y47', 1.0), ('y48', 1.0), ('y51', 1.0), ('y52', 1.0), ('y54', 1.0), ('y55', 1.0), ('y56', 1.0), ('y57', 1.0), ('y60', 1.0), ('y66', 1.0), ('y68', 1.0), ('y69', 1.0), ('y70', 1.0), ('y73', 1.0), ('y75', 1.0), ('y76', 1.0), ('y77', 1.0), ('y78', 1.0), ('y79', 1.0), ('y80', 1.0), ('y84', 1.0), ('y85', 1.0), ('y86', 1.0), ('y88', 1.0), ('y89', 1.0), ('y90', 1.0), ('y91', 1.0), ('y92', 1.0), ('y93', 1.0), ('y94', 1.0), ('y95', 1.0), ('y96', 1.0), ('y99', 1.0), ('y100', 1.0), ('y102', 1.0), ('y103', 1.0), ('y104', 1.0), ('y105', 1.0), ('y106', 1.0), ('y107', 1.0), ('y110', 1.0), ('y111', 1.0)]","[('z3', 1.0), ('z4', 1.0), ('z5', 1.0), ('z6', 1.0), ('z10', 1.0), ('z16', 1.0)]"
